No;code;202;203;204;205;206;207;208;209;210;211
62;1.1-1-76;9982,13;9982,13;10500;10500;10500;10500;10500;10500;10500;10500
63;1.1-1-77;10500;10500;10500;10500;10500;10500;10500;10500;10500;10500
64;1.1-1-78;10500;10500;10500;10500;10500;10500;10500;10500;10500;10500
65;1.1-1-79;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500
66;1.1-1-80;7500;7500;7500;7500;7500;7500;7500;7500;7500;7500
67;1.1-1-81;8820;8820;8820;8820;8820;8820;8820;8820;8820;8820
68;1.1-1-82;8820;8820;8820;8820;8820;8820;8820;8820;8820;8820
69;1.1-1-88;12500;13666,67;14166,67;14166,67;14166,67;14166,67;14166,67;14166,67;14166,67;14166,67
70;1.1-1-89;12500;13666,67;14166,67;14166,67;14166,67;14166,67;14166,67;14166,67;14166,67;14166,67
71;1.1-1-90;19943,94;19943,94;19943,94;19943,94;19943,94;24204,7;24204,7;24204,7;24204,7;24204,7
72;1.1-1-91;28638,41;28638,41;28638,41;28935,19;28935,19;28935,19;28935,19;28935,19;28935,19;28935,19
73;1.1-1-92;10160,88;10160,88;11943,95;11943,95;11943,95;12253,62;12253,62;12253,62;12253,62;12253,62
74;1.1-1-93;10503,53;10416,67;12083,33;12347,22;12347,22;12291,67;12291,67;12291,67;12291,67;12291,67
75;1.1-1-94;2241,6;2210,4;2210,4;2210,4;2282,4;2282,4;2282,4;2282,4;2282,4;2282,4
76;1.1-1-95;131,43;131,43;131,43;131,43;131,43;131,43;131,43;131,43;131,43;131,43
77;1.1-1-96;188,52;188,41;157,32;157,32;142,28;165,24;157,11;146,75;165,29;165,24
78;1.1-1-97;239,58;239,58;239,58;239,58;353,79;426,52;389,25;426,52;426,52;426,52
79;1.1-1-98;21,17;21,17;21,17;21,17;21,17;21,17;21,17;21,17;20,75;20,83
80;1.1-1-99;362,5;362,5;362,5;362,5;362,5;362,5;362,5;362,5;362,5;362,5
81;1.1-1-100;400;400;400;400;400;400;400;400;400;400
82;1.1-1-101;238;238;238;247;247;247;264;264;264;264
83;1.1-1-103;480;480;480;480;480;480;480;480;572;572
84;1.1-1-105;128100;128100;128100;128100;128100;128100;128100;128100;125000;125000
85;1.1-1-106;32,5;32,5;32,5;32,5;32,5;32,5;32,5;32,5;32,5;32,5
86;1.1-1-107;170,83;170,83;170,83;170,83;170,83;170,83;170,83;170,83;190;190
87;1.1-1-109;73,33;73,33;73,33;73,33;73,33;73,33;73,33;73,33;80;80
88;1.1-1-110;4833,33;4833,33;4833,33;4833,33;4833,33;4833,33;4833,33;4833,33;4833,33;4833,33
89;1.1-1-111;9100,83;9559;9559;9559;9559;9559;9341,32;8929,74;9615,74;9754,98
90;1.1-1-112;152000;152000;152000;152000;152000;152000;152000;152000;152000;152000
91;1.1-1-113;183,14;183,14;183,14;183,14;183,14;183,14;183,14;183,14;183,14;183,14
92;1.1-1-114;67,59;67,59;67,59;67,59;67,59;67,59;67,59;67,59;65,74;65,74
93;1.1-1-115;51,67;51,67;51,67;51,67;51,67;51,67;51,67;51,67;51,67;51,67
94;1.1-1-116;166,51;166,51;171,79;171,79;171,79;171,79;171,79;171,79;171,79;187,86
